Book ID,Sale Date,ISBN,Discount,ItemID,OrderID,First Name,Last Name,Birthday,Country of Residence,Hrs Writing per Day,Title,AuthID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price,Publishing House,City,State,Country,Year Established,Marketing Spend,Number of Awards Won (avg only),Number of Months Checked Out,Total Checkouts,Genre,SeriesID,Volume Number,Staff Comment,Series Name,Planned Volumes,Book Tour Events,Average Rating,Number of Reviewers,Number of Reviews
HP265,02/01/2193,989-28-3705-007-2,,107020-91-8011,107020-1,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Board book,CHP,03/06/2188,16,55,5.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
TP887,02/01/2193,989-28-79-11297-4,,107020-9-3293,107020-10,David,Beam,26/02/2157,United States,5.13,the life and times of an utterly inconsequential person,DB605,Trade paperback,ESP,25/08/2192,1296,30,13.46,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,210,Fiction,,,,,,,3.195032871,1369,1369
TP887,02/01/2193,989-28-79-11297-4,,107020-91-4622,107020-11,David,Beam,26/02/2157,United States,5.13,the life and times of an utterly inconsequential person,DB605,Trade paperback,ESP,25/08/2192,1296,30,13.46,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,210,Fiction,,,,,,,3.195032871,1369,1369
AY135,02/01/2193,989-28-79-18127-7,,107020-38-4663,107020-12,Elmer,Komroff,11/07/2129,Norway,6,And I Said Yes,EK605,Hardcover,ESP,24/04/2179,704,15,27.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,93,Fiction,,,,,,,3.860824742,970,970
TC188,02/01/2193,989-28-79-82197-5,0.15,107020-1-1485,107020-13,Burton,Malamud,18/01/2145,Brazil,6,Thatchwork Cottage,BM856,Trade paperback,ESP,05/12/2186,469,20,12.5,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,195,Fiction,,,,,,,4.210451977,708,708
TC188,02/01/2193,989-28-79-05638-4,,107020-52-7106,107020-14,Burton,Malamud,18/01/2145,Brazil,6,Thatchwork Cottage,BM856,Hardcover,ESP,15/11/2185,485,12,27.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,195,Fiction,,,,,,,4.210451977,708,708
IC739,02/01/2193,989-28-654-5018-9,,107020-93-2425,107020-15,Oliver,Lowry,29/08/2155,Netherlands,4,Inconvenient Confessions: a memoir,OL640,Trade paperback,PP,15/07/2190,385,20,16.99,Palimpsest Printing,Edinburgh,Scotland,UK,1982,48000,1,12,59,Memoir,,,"Lowry's comedic genius shines through every moment of her memoir. Told with clear eyes and biting wit, the anecdotes of each chapter bring to life a world of eccentric academics. The literarily-inclinded daughter of a physicist  and an epidemiologist, Lowry was forced to find her own way toward normal through an upbringing that was anything but.",,,,4.137772675,871,871
NR695,02/01/2193,989-28-79-69807-2,,107020-1-6589,107020-16,Carolyn,Segal,24/09/2133,United States,7,9803 North Millworks Road,CS190,Mass market paperback,ESP,24/09/2182,414,12,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,469,Mystery,IR-ESP,1,,Inspector Ryeslton,4,19,4.089084065,797,797
NR695,02/01/2193,989-28-79-69807-2,,107020-44-1929,107020-17,Carolyn,Segal,24/09/2133,United States,7,9803 North Millworks Road,CS190,Mass market paperback,ESP,24/09/2182,414,12,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,469,Mystery,IR-ESP,1,,Inspector Ryeslton,4,19,4.089084065,797,797
ZT703,02/01/2193,989-28-79-05670-4,,107020-37-9059,107020-18,Burton,Malamud,18/01/2145,Brazil,6,Zero over Twelve,BM856,Mass market paperback,ESP,20/11/2187,338,26,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,576,Mystery,,,,,,,3.986920333,841,841
NR695,02/01/2193,989-28-79-82749-6,,107020-34-6800,107020-19,Carolyn,Segal,24/09/2133,United States,7,9803 North Millworks Road,CS190,Hardcover,ESP,10/07/2181,384,5,22.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,469,Mystery,IR-ESP,1,,Inspector Ryeslton,4,19,4.089084065,797,797
AD222,02/01/2193,989-28-3705-987-7,,107020-1-850,107020-2,Bernard,Hopf,27/11/2122,United States,1,Alanna Saves the Day,BH149,Trade paperback,CHP,22/09/2185,188,10,8.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,384,Childrens,,,"Alanna didn't expect this Tuesday to be any different than the Tuesday before, and the Tuesday before that. She was wrong. Can she make it to Wednesday?",,,,4.018008475,944,944
TH296,02/01/2193,989-28-79-82125-8,,107020-78-6994,107020-20,Carolyn,Segal,24/09/2133,United States,7,The Winchcombe Railway Museum Heist,CS190,Hardcover,ESP,10/02/2184,293,10,22.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,399,Mystery,IR-ESP,2,,Inspector Ryeslton,4,19,4.034682081,692,692
NR695,02/01/2193,989-28-79-69807-2,,107020-89-7892,107020-21,Carolyn,Segal,24/09/2133,United States,7,9803 North Millworks Road,CS190,Mass market paperback,ESP,24/09/2182,414,12,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,469,Mystery,IR-ESP,1,,Inspector Ryeslton,4,19,4.089084065,797,797
NR695,02/01/2193,989-28-79-69807-2,,107020-89-7891,107020-22,Carolyn,Segal,24/09/2133,United States,7,9803 North Millworks Road,CS190,Mass market paperback,ESP,24/09/2182,414,12,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,469,Mystery,IR-ESP,1,,Inspector Ryeslton,4,19,4.089084065,797,797
