id,Student Name,Term,Term Date,GPA,3 Term GPA Moving Average
405,Odessa Aspinwall,Term 3,16/06/2021,7.5,7.25
235,Tate Nannetti,Term 3,16/06/2021,7.0,7.17
313,Mitchell Ruddle,Term 3,16/06/2021,7.25,7.0
481,Christoper Tolman,Term 3,16/06/2021,5.5,7.0
319,Westbrook Mattersley,Term 3,16/06/2021,8.75,6.75
96,Danella Rouch,Term 3,16/06/2021,6.5,6.67
265,Krispin Roxbrough,Term 3,16/06/2021,6.0,6.67
493,Gertrudis Danbye,Term 3,16/06/2021,7.0,6.5
67,Skylar Sacher,Term 3,16/06/2021,6.75,6.5
126,Lucretia Sponder,Term 3,16/06/2021,6.5,6.5
34,Sadie Ashling,Term 6,16/06/2022,6.75,7.67
66,Maddie Tegler,Term 6,16/06/2022,7.25,7.25
309,Marley Kesterton,Term 6,16/06/2022,6.5,7.08
50,Levin Gillean,Term 6,16/06/2022,7.0,6.83
360,Ozzie Dufore,Term 6,16/06/2022,8.25,6.75
132,Brier Heinreich,Term 6,16/06/2022,7.25,6.75
469,Cristian Burkett,Term 6,16/06/2022,7.5,6.58
357,Dotty Lown,Term 6,16/06/2022,7.5,6.58
235,Tate Nannetti,Term 6,16/06/2022,7.25,6.58
162,Eddie Dobbie,Term 6,16/06/2022,6.25,6.58
